Year,Month,Variable,101
1974,4,mintemp,8.5
1974,5,mintemp,14.6
1974,6,mintemp,15.3
1974,7,mintemp,18.6
1974,8,mintemp,18.7
1974,9,mintemp,14.7
1974,10,mintemp,6.1
1974,11,mintemp,3.3
1974,12,mintemp,1.4
1975,1,mintemp,2.8
1975,2,mintemp,2.7
1975,3,mintemp,4.3
1975,4,mintemp,7.9
1975,5,mintemp,15.4
1975,6,mintemp,17.5
1975,7,mintemp,18.9
1975,8,mintemp,19.1
1975,9,mintemp,14.5
1975,10,mintemp,10.8
1975,11,mintemp,5.2
1975,12,mintemp,0.2
1976,1,mintemp,-2.7
1976,2,mintemp,2.8
1976,3,mintemp,6.9
1976,4,mintemp,7.9
1976,5,mintemp,11.1
1976,6,mintemp,16.6
1976,7,mintemp,18.9
1976,8,mintemp,17.8
1976,9,mintemp,15.7
1976,10,mintemp,6.6
1976,11,mintemp,-0.6
1976,12,mintemp,-2
1977,1,mintemp,-5.8
1977,2,mintemp,-1.9
1977,3,mintemp,6.7
1977,4,mintemp,10.2
1977,5,mintemp,13.7
1977,6,mintemp,18
1977,7,mintemp,20.5
1977,8,mintemp,20.7
1977,9,mintemp,18.7
1977,10,mintemp,8.2
1977,11,mintemp,8.2
1977,12,mintemp,0.6
1978,1,mintemp,-3.3
1978,2,mintemp,-3.4
1978,3,mintemp,2.9
1978,4,mintemp,9
1978,5,mintemp,14
1978,6,mintemp,18.1
1978,7,mintemp,20.4
1978,8,mintemp,20
1978,9,mintemp,18
1978,10,mintemp,6.6
1978,11,mintemp,6.8
1978,12,mintemp,0.4
1979,1,mintemp,-3.1
1979,2,mintemp,-0.1
1979,3,mintemp,5.2
1979,4,mintemp,9.6
1979,5,mintemp,14.3
1979,6,mintemp,17
1979,7,mintemp,20.2
1979,8,mintemp,18.9
1979,9,mintemp,17.4
1979,10,mintemp,8
1979,11,mintemp,3.4
1979,12,mintemp,0.1
1980,1,mintemp,2.8
1980,2,mintemp,-1.6
1980,3,mintemp,4.8
1980,4,mintemp,7.5
1980,5,mintemp,14.5
1980,6,mintemp,17.5
1980,7,mintemp,20.8
1980,8,mintemp,20.2
1980,9,mintemp,18.4
1980,10,mintemp,7.7
1980,11,mintemp,3.5
1980,12,mintemp,-0.1
1981,1,mintemp,-3.5
1981,2,mintemp,0.5
1981,3,mintemp,2.4
1981,4,mintemp,10.9
1981,5,mintemp,11.6
1981,6,mintemp,20.3
1981,7,mintemp,21.6
1981,8,mintemp,20
1981,9,mintemp,13.7
1981,10,mintemp,9.2
1981,11,mintemp,4.3
1981,12,mintemp,0.4
1982,1,mintemp,-1
1982,2,mintemp,2.1
1982,3,mintemp,6.6
1982,4,mintemp,8.1
1982,5,mintemp,13.7
1982,6,mintemp,17.1
1982,7,mintemp,19.7
1982,8,mintemp,19.8
1982,9,mintemp,15.7
1982,10,mintemp,10.5
1982,11,mintemp,5.5
1982,12,mintemp,5.8
1983,1,mintemp,-0.4
1983,2,mintemp,1.8
1983,3,mintemp,4.8
1983,4,mintemp,6.2
1983,5,mintemp,12.8
1983,6,mintemp,17.4
1983,7,mintemp,19.4
1983,8,mintemp,19.6
1983,9,mintemp,15.1
1983,10,mintemp,9.8
1983,11,mintemp,3.5
1983,12,mintemp,-0.9
1984,1,mintemp,-2.7
1984,2,mintemp,1.3
1984,3,mintemp,3.4
1984,4,mintemp,8.4
1984,5,mintemp,12.7
1984,6,mintemp,16.9
1984,7,mintemp,18.9
1984,8,mintemp,19.2
1984,9,mintemp,14.8
1984,10,mintemp,14.2
1984,11,mintemp,3.6
1984,12,mintemp,5.6
1985,1,mintemp,-3.6
1985,2,mintemp,1.1
1985,3,mintemp,6.8
1985,4,mintemp,9.9
1985,5,mintemp,14.2
1985,6,mintemp,18.5
1985,7,mintemp,19.9
1985,8,mintemp,19.5
1985,9,mintemp,15.1
1985,10,mintemp,14
1985,11,mintemp,10.9
1985,12,mintemp,-2
1986,1,mintemp,-2.1
1986,2,mintemp,2.7
1986,3,mintemp,4.2
1986,4,mintemp,7.4
1986,5,mintemp,14.5
1986,6,mintemp,19.1
1986,7,mintemp,21.6
1986,8,mintemp,19.6
1986,9,mintemp,18.8
1986,10,mintemp,10.9
1986,11,mintemp,9.2
1986,12,mintemp,2.5
1987,1,mintemp,-0.5
1987,2,mintemp,2.3
1987,3,mintemp,5.7
1987,4,mintemp,6.9
1987,5,mintemp,16.5
1987,6,mintemp,18.1
1987,7,mintemp,19.8
1987,8,mintemp,20.7
1987,9,mintemp,15.5
1987,10,mintemp,4.1
1987,11,mintemp,5.5
1987,12,mintemp,3.8
1988,1,mintemp,-1.1
1988,2,mintemp,0
1988,3,mintemp,3.8
1988,4,mintemp,8.9
1988,5,mintemp,10.9
1988,6,mintemp,15.8
1988,7,mintemp,19.8
1988,8,mintemp,20.4
1988,9,mintemp,17.5
1988,10,mintemp,6.8
1988,11,mintemp,6.7
1988,12,mintemp,0.5
1989,1,mintemp,3.1
1989,2,mintemp,2.3
1989,3,mintemp,6.9
1989,4,mintemp,8.3
1989,5,mintemp,13.2
1989,6,mintemp,18.6
1989,7,mintemp,20.6
1989,8,mintemp,19.3
1989,9,mintemp,16.5
1989,10,mintemp,8.6
1989,11,mintemp,4
1989,12,mintemp,-2.8
1990,1,mintemp,2.5
1990,2,mintemp,5.5
1990,3,mintemp,6.1
1990,4,mintemp,7.9
1990,5,mintemp,13.4
1990,6,mintemp,17.3
1990,7,mintemp,19.4
1990,8,mintemp,19.6
1990,9,mintemp,16.4
1990,10,mintemp,9.2
1990,11,mintemp,4
1990,12,mintemp,2.7
1991,1,mintemp,2
1991,2,mintemp,2.7
1991,3,mintemp,5.4
1991,4,mintemp,12
1991,5,mintemp,16.8
1991,6,mintemp,18.6
1991,7,mintemp,20.8
1991,8,mintemp,19.9
1991,9,mintemp,15.5
1991,10,mintemp,8.5
1991,11,mintemp,2.3
1991,12,mintemp,2.4
1992,1,mintemp,-0.1
1992,2,mintemp,2.5
1992,3,mintemp,4.1
1992,4,mintemp,7.9
1992,5,mintemp,11.5
1992,6,mintemp,17
1992,7,mintemp,20.1
1992,8,mintemp,18
1992,9,mintemp,17
1992,10,mintemp,8.2
1992,11,mintemp,4.3
1992,12,mintemp,2.5
1993,1,mintemp,3.3
1993,2,mintemp,0.1
1993,3,mintemp,3.5
1993,4,mintemp,7.2
1993,5,mintemp,13.3
1993,6,mintemp,18.4
1993,7,mintemp,20.8
1993,8,mintemp,20.1
1993,9,mintemp,15.7
1993,10,mintemp,9.4
1993,11,mintemp,2.5
1993,12,mintemp,0.7
1994,1,mintemp,-1.1
1994,2,mintemp,2.1
1994,3,mintemp,4.6
1994,4,mintemp,10.5
1994,5,mintemp,12.2
1994,6,mintemp,19.6
1994,7,mintemp,20.2
1994,8,mintemp,19.1
1994,9,mintemp,15.6
1994,10,mintemp,10.9
1994,11,mintemp,6.4
1994,12,mintemp,3.1
1995,1,mintemp,-0.2
1995,2,mintemp,0.6
1995,3,mintemp,6.8
1995,4,mintemp,8.4
1995,5,mintemp,14.9
1995,6,mintemp,16.3
1995,7,mintemp,19.8
1995,8,mintemp,21.6
1995,9,mintemp,15.9
1995,10,mintemp,9
1995,11,mintemp,2
1995,12,mintemp,-0.7
1996,1,mintemp,-1.7
1996,2,mintemp,0
1996,3,mintemp,2.7
1996,4,mintemp,6.3
1996,5,mintemp,14.6
1996,6,mintemp,18
1996,7,mintemp,19.5
1996,8,mintemp,19.2
1996,9,mintemp,15
1996,10,mintemp,8.7
1996,11,mintemp,3.9
1996,12,mintemp,1.7
1997,1,mintemp,0.9
1997,2,mintemp,2.8
1997,3,mintemp,7.2
1997,4,mintemp,6.2
1997,5,mintemp,11.2
1997,6,mintemp,17.6
1997,7,mintemp,20.3
1997,8,mintemp,18.3
1997,9,mintemp,15.6
1997,10,mintemp,8.9
1997,11,mintemp,2.9
1997,12,mintemp,-0.1
1998,1,mintemp,2
1998,2,mintemp,2
1998,3,mintemp,3.8
1998,4,mintemp,8.4
1998,5,mintemp,15.1
1998,6,mintemp,19.3
1998,7,mintemp,21.5
1998,8,mintemp,19.3
1998,9,mintemp,17.8
1998,10,mintemp,10.3
1998,11,mintemp,5.9
1998,12,mintemp,4.5
1999,1,mintemp,1.4
1999,2,mintemp,2.7
1999,3,mintemp,2.2
1999,4,mintemp,11.6
1999,5,mintemp,12.8
1999,6,mintemp,18.7
1999,7,mintemp,20.4
1999,8,mintemp,19.7
1999,9,mintemp,14.3
1999,10,mintemp,8.4
1999,11,mintemp,4.3
1999,12,mintemp,-0.1
2000,1,mintemp,0.7
2000,2,mintemp,1.5
2000,3,mintemp,5.8
2000,4,mintemp,6.8
2000,5,mintemp,15.4
2000,6,mintemp,17.4
2000,7,mintemp,19.4
2000,8,mintemp,19.1
2000,9,mintemp,16.2
2000,10,mintemp,8.5
2000,11,mintemp,4.6
2000,12,mintemp,-2.7
2001,1,mintemp,-3
2001,2,mintemp,3.1
2001,3,mintemp,3
2001,4,mintemp,9.6
2001,5,mintemp,13.6
2001,6,mintemp,18.2
2001,7,mintemp,19.9
2001,8,mintemp,20.1
2001,9,mintemp,15.4
2001,10,mintemp,7
2001,11,mintemp,5.3
2001,12,mintemp,2.8
2002,1,mintemp,0.2
2002,2,mintemp,-0.8
2002,3,mintemp,3.8
2002,4,mintemp,11.2
2002,5,mintemp,13.6
2002,6,mintemp,17.9
2002,7,mintemp,20.4
2002,8,mintemp,20
2002,9,mintemp,19.2
2002,10,mintemp,15.1
2002,11,mintemp,3.4
2002,12,mintemp,-0.4
2003,1,mintemp,-2.8
2003,2,mintemp,1.8
2003,3,mintemp,7
2003,4,mintemp,9.6
2003,5,mintemp,15.6
2003,6,mintemp,17.9
2003,7,mintemp,20.4
2003,8,mintemp,20.9
2003,9,mintemp,15.8
2003,10,mintemp,9.2
2003,11,mintemp,7
2003,12,mintemp,-0.7
2004,1,mintemp,-0.7
2004,2,mintemp,1.4
2004,3,mintemp,6.3
2004,4,mintemp,7.8
2004,5,mintemp,16.2
2004,6,mintemp,19.5
2004,7,mintemp,20
2004,8,mintemp,18.4
2004,9,mintemp,17.2
2004,10,mintemp,13.5
2004,11,mintemp,7.8
2004,12,mintemp,-0.1
2005,1,mintemp,2
2005,2,mintemp,3.4
2005,3,mintemp,3.8
2005,4,mintemp,8
2005,5,mintemp,12
2005,6,mintemp,19
2005,7,mintemp,21.3
2005,8,mintemp,21.5
2005,9,mintemp,17.8
2005,10,mintemp,10.1
2005,11,mintemp,5.3
2005,12,mintemp,-1.6
2006,1,mintemp,2.8
2006,2,mintemp,0.2
2006,3,mintemp,4.6
2006,4,mintemp,11.2
2006,5,mintemp,13.9
2006,6,mintemp,17.2
2006,7,mintemp,20.8
2006,8,mintemp,21.6
2006,9,mintemp,15.5
2006,10,mintemp,8.7
2006,11,mintemp,3.5
2006,12,mintemp,1.9
2007,1,mintemp,1.3
2007,2,mintemp,-1.5
2007,3,mintemp,6.2
2007,4,mintemp,6.9
2007,5,mintemp,13.3
2007,6,mintemp,18.5
2007,7,mintemp,20.1
2007,8,mintemp,21.7
2007,9,mintemp,17.3
2007,10,mintemp,12
2007,11,mintemp,3.1
2007,12,mintemp,3.5
2008,1,mintemp,-1.7
2008,2,mintemp,1
2008,3,mintemp,3.6
2008,4,mintemp,10
2008,5,mintemp,14
2008,6,mintemp,18.8
2008,7,mintemp,19.5
2008,8,mintemp,20.2
2008,9,mintemp,17.4
2008,10,mintemp,9.5
2008,11,mintemp,2
2008,12,mintemp,3.4
2009,1,mintemp,0.1
2009,2,mintemp,0.1
2009,3,mintemp,6.1
2009,4,mintemp,8.4
2009,5,mintemp,16.4
2009,6,mintemp,19.4
2009,7,mintemp,18.8
2009,8,mintemp,20
2009,9,mintemp,18.9
2009,10,mintemp,10.6
2009,11,mintemp,3.8
2009,12,mintemp,1.2
2010,1,mintemp,-2.6
2010,2,mintemp,-2
2010,3,mintemp,3.1
2010,4,mintemp,8.7
2010,5,mintemp,16
2010,6,mintemp,20.8
2010,7,mintemp,21.8
2010,8,mintemp,22.6
2010,9,mintemp,16.8
2010,10,mintemp,8.2
2010,11,mintemp,4.7
2010,12,mintemp,-2.3
2011,1,mintemp,-1.9
2011,2,mintemp,1.4
2011,3,mintemp,6.6
2011,4,mintemp,10.2
2011,5,mintemp,13.3
2011,6,mintemp,19.8
2011,7,mintemp,21.9
2011,8,mintemp,20.6
2011,9,mintemp,15.9
2011,10,mintemp,7.3
2011,11,mintemp,5.7
2011,12,mintemp,2.6
2012,1,mintemp,2.1
2012,2,mintemp,4
2012,3,mintemp,10.4
2012,4,mintemp,10.8
2012,5,mintemp,16
2012,6,mintemp,17.9
2012,7,mintemp,21.3
2012,8,mintemp,19.8
2012,9,mintemp,15.8
2012,10,mintemp,9.6
2012,11,mintemp,1.6
2012,12,mintemp,3.9
2013,1,mintemp,3.8
2013,2,mintemp,1.5
2013,3,mintemp,2
2013,4,mintemp,9.2
2013,5,mintemp,13.3
2013,6,mintemp,20
2013,7,mintemp,20.3
2013,8,mintemp,20.2
2013,9,mintemp,16.8
2013,10,mintemp,10.9
2013,11,mintemp,3.5
2013,12,mintemp,2.6
2014,1,mintemp,-5.2
2014,2,mintemp,0.8
2014,3,mintemp,3.1
2014,4,mintemp,9.3
2014,5,mintemp,14.2
2014,6,mintemp,20
2014,7,mintemp,19.2
2014,8,mintemp,19.8
2014,9,mintemp,18.8
2014,10,mintemp,10.9
2014,11,mintemp,1.2
2014,12,mintemp,3.8
2015,1,mintemp,-0.3
2015,2,mintemp,-2
2015,3,mintemp,6.7
2015,4,mintemp,11.6
2015,5,mintemp,14.9
2015,6,mintemp,20
2015,7,mintemp,21.3
2015,8,mintemp,20.1
2015,9,mintemp,17.8
2015,10,mintemp,11.4
2015,11,mintemp,8.8
2015,12,mintemp,7.6
2016,1,mintemp,-0.7
2016,2,mintemp,2.5
2016,3,mintemp,7.3
2016,4,mintemp,9.7
2016,5,mintemp,14.2
2016,6,mintemp,19.4
2016,7,mintemp,21.7
2016,8,mintemp,22.3
2016,9,mintemp,18.9
2016,10,mintemp,11.3
2016,11,mintemp,4.6
2016,12,mintemp,3.5
2017,1,mintemp,4.6
2017,2,mintemp,4.9
2017,3,mintemp,6.3
2017,4,mintemp,11.7
2017,5,mintemp,14.5
2017,6,mintemp,19.3
2017,7,mintemp,21.3
2017,8,mintemp,20.8
2017,9,mintemp,16.3
2017,10,mintemp,11.6
2017,11,mintemp,4.7
2017,12,mintemp,2.1
2018,1,mintemp,-3
2018,2,mintemp,7.7
2018,3,mintemp,4.7
2018,4,mintemp,7
2018,5,mintemp,16.7
2018,6,mintemp,20
2018,7,mintemp,20.9
2018,8,mintemp,20.8
2018,9,mintemp,20.9
2018,10,mintemp,12.9
2018,11,mintemp,3.3
2018,12,mintemp,3.2
2019,1,mintemp,1.5
2019,2,mintemp,6.2
2019,3,mintemp,4.9
2019,4,mintemp,9.8
2019,5,mintemp,16.1
2019,6,mintemp,19.4
2019,7,mintemp,20.8
2019,8,mintemp,20.5
2019,9,mintemp,18.1
2019,10,mintemp,13.3
2019,11,mintemp,1.8
2019,12,mintemp,4.3
2020,1,mintemp,2.4
2020,2,mintemp,3.8
2020,3,mintemp,10.6
2020,4,mintemp,8.4
2020,5,mintemp,13.1
2020,6,mintemp,18.5
2020,7,mintemp,21.4
2020,8,mintemp,21.2
2020,9,mintemp,17.9
2020,10,mintemp,12.5
2020,11,mintemp,6.3
2020,12,mintemp,-0.5
2021,1,mintemp,1.1
2021,2,mintemp,0.9
2021,3,mintemp,6.9
2021,4,mintemp,7.8
2021,5,mintemp,13.5
2021,6,mintemp,18.8
2021,7,mintemp,20.7
2021,8,mintemp,21.3
2021,9,mintemp,16.8
2021,10,mintemp,13.1
2021,11,mintemp,2.6
2021,12,mintemp,5.8
2022,1,mintemp,-1.2
2022,2,mintemp,1.6
2022,3,mintemp,4.7
2022,4,mintemp,8.7
2022,5,mintemp,16.3
2022,6,mintemp,19.6
2022,7,mintemp,22
2022,8,mintemp,21.3
2022,9,mintemp,15.6
2022,10,mintemp,6.8
2022,11,mintemp,5.9
2022,12,mintemp,3.5
2023,1,mintemp,2.8
2023,2,mintemp,6.3
2023,3,mintemp,5.3
2023,4,mintemp,9.3
2023,5,mintemp,14.7
2023,6,mintemp,17.8
2023,7,mintemp,21.3
2023,8,mintemp,20.8
2023,9,mintemp,17.1
2023,10,mintemp,10.8
2023,11,mintemp,4.6
2023,12,mintemp,1.4
1895,1,maxtemp,10.4
1895,2,maxtemp,7.7
1895,3,maxtemp,18.1
1895,4,maxtemp,23.5
1895,5,maxtemp,25.8
1895,6,maxtemp,31
1895,7,maxtemp,30.8
1895,8,maxtemp,30.9
1895,9,maxtemp,30.7
1895,10,maxtemp,22.9
1895,11,maxtemp,17.5
1895,12,maxtemp,12.9
1896,1,maxtemp,10.7
1896,2,maxtemp,14.2
1896,3,maxtemp,16.7
1896,4,maxtemp,26.6
1896,5,maxtemp,30.3
1896,6,maxtemp,30.2
1896,7,maxtemp,32.2
1896,8,maxtemp,34.2
1896,9,maxtemp,31.9
1896,10,maxtemp,23.3
1896,11,maxtemp,19.2
1896,12,maxtemp,13.3
1897,1,maxtemp,10.4
1897,2,maxtemp,15.1
1897,3,maxtemp,19.6
1897,4,maxtemp,22.8
1897,5,maxtemp,27
1897,6,maxtemp,34
1897,7,maxtemp,32.9
1897,8,maxtemp,31.4
1897,9,maxtemp,31.3
1897,10,maxtemp,27
1897,11,maxtemp,18.4
1897,12,maxtemp,13
1898,1,maxtemp,13.9
1898,2,maxtemp,12.6
1898,3,maxtemp,20
1898,4,maxtemp,19.9
1898,5,maxtemp,30.1
1898,6,maxtemp,33.3
1898,7,maxtemp,31.4
1898,8,maxtemp,30.2
1898,9,maxtemp,28.2
1898,10,maxtemp,21.4
1898,11,maxtemp,15.1
1898,12,maxtemp,11.5
1899,1,maxtemp,11.1
1899,2,maxtemp,10.1
1899,3,maxtemp,18.6
1899,4,maxtemp,21.4
1899,5,maxtemp,30.1
1899,6,maxtemp,32.5
1899,7,maxtemp,32.3
1899,8,maxtemp,32.3
1899,9,maxtemp,28.7
1899,10,maxtemp,24.5
1899,11,maxtemp,18.2
1899,12,maxtemp,11.9
1900,1,maxtemp,11.6
1900,2,maxtemp,11.5
1900,3,maxtemp,16.9
1900,4,maxtemp,23.4
1900,5,maxtemp,29.3
1900,6,maxtemp,28.9
1900,7,maxtemp,32.9
1900,8,maxtemp,34
1900,9,maxtemp,30.6
1900,10,maxtemp,25.1
1900,11,maxtemp,18.2
1900,12,maxtemp,12.8
1901,1,maxtemp,12.8
1901,2,maxtemp,11.3
1901,3,maxtemp,18
1901,4,maxtemp,19.6
1901,5,maxtemp,27.7
1901,6,maxtemp,31.6
1901,7,maxtemp,33.7
1901,8,maxtemp,31.3
1901,9,maxtemp,27.3
1901,10,maxtemp,23.9
1901,11,maxtemp,15.8
1901,12,maxtemp,10.6
1902,1,maxtemp,11.6
1902,2,maxtemp,9.3
1902,3,maxtemp,17.8
1902,4,maxtemp,22.7
1902,5,maxtemp,30.8
1902,6,maxtemp,34.3
1902,7,maxtemp,35.3
1902,8,maxtemp,34.7
1902,9,maxtemp,28.5
1902,10,maxtemp,23.5
1902,11,maxtemp,20.1
1902,12,maxtemp,12.1
1903,1,maxtemp,11
1903,2,maxtemp,14.6
1903,3,maxtemp,19.2
1903,4,maxtemp,22.2
1903,5,maxtemp,25.9
1903,6,maxtemp,28.7
1903,7,maxtemp,32.8
1903,8,maxtemp,32.9
1903,9,maxtemp,29.9
1903,10,maxtemp,25.3
1903,11,maxtemp,16.3
1903,12,maxtemp,11.2
1904,1,maxtemp,10.7
1904,2,maxtemp,14.5
1904,3,maxtemp,20.9
1904,4,maxtemp,21.5
1904,5,maxtemp,28.4
1904,6,maxtemp,32.6
1904,7,maxtemp,32
1904,8,maxtemp,31.1
1904,9,maxtemp,32.1
1904,10,maxtemp,26.6
1904,11,maxtemp,18.1
1904,12,maxtemp,13.9
1905,1,maxtemp,9.1
1905,2,maxtemp,9
1905,3,maxtemp,21.5
1905,4,maxtemp,23.3
1905,5,maxtemp,27.5
1905,6,maxtemp,32.1
1905,7,maxtemp,32.1
1905,8,maxtemp,31.2
1905,9,maxtemp,30.9
1905,10,maxtemp,23.8
1905,11,maxtemp,19.3
1905,12,maxtemp,10.8
1906,1,maxtemp,13.4
1906,2,maxtemp,14.7
1906,3,maxtemp,16
1906,4,maxtemp,25.8
1906,5,maxtemp,27.1
1906,6,maxtemp,32.1
1906,7,maxtemp,31
1906,8,maxtemp,32.2
1906,9,maxtemp,30
1906,10,maxtemp,21.8
1906,11,maxtemp,19.2
1906,12,maxtemp,14.8
1907,1,maxtemp,18.3
1907,2,maxtemp,15.4
1907,3,maxtemp,25.1
1907,4,maxtemp,20.8
1907,5,maxtemp,25.4
1907,6,maxtemp,30.5
1907,7,maxtemp,33.3
1907,8,maxtemp,33
1907,9,maxtemp,29.1
1907,10,maxtemp,24.3
1907,11,maxtemp,16.8
1907,12,maxtemp,12.5
1908,1,maxtemp,11.6
1908,2,maxtemp,11.8
1908,3,maxtemp,23
1908,4,maxtemp,25.8
1908,5,maxtemp,27.8
1908,6,maxtemp,32
1908,7,maxtemp,33
1908,8,maxtemp,33
1908,9,maxtemp,29.7
1908,10,maxtemp,23.6
1908,11,maxtemp,20.9
1908,12,maxtemp,16.2
1909,1,maxtemp,15.5
1909,2,maxtemp,16.7
1909,3,maxtemp,18.7
1909,4,maxtemp,23.6
1909,5,maxtemp,26.1
1909,6,maxtemp,30.5
1909,7,maxtemp,31.6
1909,8,maxtemp,32.4
1909,9,maxtemp,29.8
1909,10,maxtemp,25.5
1909,11,maxtemp,22.7
1909,12,maxtemp,9.8
1910,1,maxtemp,13.4
1910,2,maxtemp,14
1910,3,maxtemp,23.9
1910,4,maxtemp,23.3
1910,5,maxtemp,26.2
1910,6,maxtemp,29.3
1910,7,maxtemp,30.9
1910,8,maxtemp,32.3
1910,9,maxtemp,32.5
1910,10,maxtemp,25.8
1910,11,maxtemp,17.1
1910,12,maxtemp,10.9
1911,1,maxtemp,15.6
1911,2,maxtemp,17.3
1911,3,maxtemp,20.9
1911,4,maxtemp,22.7
1911,5,maxtemp,29.6
1911,6,maxtemp,33.2
1911,7,maxtemp,30.8
1911,8,maxtemp,31.8
1911,9,maxtemp,32.9
1911,10,maxtemp,26.4
1911,11,maxtemp,15.9
1911,12,maxtemp,15
1912,1,maxtemp,10
1912,2,maxtemp,12.9
1912,3,maxtemp,16.8
1912,4,maxtemp,23.7
1912,5,maxtemp,28.4
1912,6,maxtemp,29.1
1912,7,maxtemp,30.8
1912,8,maxtemp,30.5
1912,9,maxtemp,29.5
1912,10,maxtemp,24.2
1912,11,maxtemp,17.2
1912,12,maxtemp,12.7
1913,1,maxtemp,16.1
1913,2,maxtemp,14.6
1913,3,maxtemp,19.1
1913,4,maxtemp,23
1913,5,maxtemp,28.6
1913,6,maxtemp,31.9
1913,7,maxtemp,32.8
1913,8,maxtemp,32.8
1913,9,maxtemp,27.4
1913,10,maxtemp,22.1
1913,11,maxtemp,19.7
1913,12,maxtemp,13.5
1914,1,maxtemp,14.3
1914,2,maxtemp,13.3
1914,3,maxtemp,16.5
1914,4,maxtemp,24
1914,5,maxtemp,29.1
1914,6,maxtemp,35
1914,7,maxtemp,33.9
1914,8,maxtemp,31
1914,9,maxtemp,28
1914,10,maxtemp,22.5
1914,11,maxtemp,17.8
1914,12,maxtemp,10.1
1915,1,maxtemp,11
1915,2,maxtemp,14.1
1915,3,maxtemp,14.3
1915,4,maxtemp,26.1
1915,5,maxtemp,29.4
1915,6,maxtemp,31.8
1915,7,maxtemp,32.5
1915,8,maxtemp,31.3
1915,9,maxtemp,30.3
1915,10,maxtemp,24.4
1915,11,maxtemp,19.6
1915,12,maxtemp,13.7
1916,1,maxtemp,16.3
1916,2,maxtemp,14
1916,3,maxtemp,19.3
1916,4,maxtemp,23.1
1916,5,maxtemp,29.7
1916,6,maxtemp,31.3
1916,7,maxtemp,30
1916,8,maxtemp,32
1916,9,maxtemp,28.9
1916,10,maxtemp,24.3
1916,11,maxtemp,18.3
1916,12,maxtemp,13.5
1917,1,maxtemp,14.2
1917,2,maxtemp,14.7
1917,3,maxtemp,19.7
1917,4,maxtemp,24.9
1917,5,maxtemp,25.8
1917,6,maxtemp,31.6
1917,7,maxtemp,31.6
1917,8,maxtemp,30.3
1917,9,maxtemp,27.9
1917,10,maxtemp,21.7
1917,11,maxtemp,16.5
1917,12,maxtemp,8.7
1918,1,maxtemp,7.8
1918,2,maxtemp,17.7
1918,3,maxtemp,23.2
1918,4,maxtemp,21.2
1918,5,maxtemp,29.2
1918,6,maxtemp,32.2
1918,7,maxtemp,31
1918,8,maxtemp,32.5
1918,9,maxtemp,26.7
1918,10,maxtemp,24.2
1918,11,maxtemp,16.2
1918,12,maxtemp,13.6
1919,1,maxtemp,11.6
1919,2,maxtemp,13.7
1919,3,maxtemp,19.6
1919,4,maxtemp,24.1
1919,5,maxtemp,25.7
1919,6,maxtemp,30.5
1919,7,maxtemp,30.6
1919,8,maxtemp,31.2
1919,9,maxtemp,30.7
1919,10,maxtemp,28.5
1919,11,maxtemp,19
1919,12,maxtemp,13.3
1920,1,maxtemp,12.4
1920,2,maxtemp,12.3
1920,3,maxtemp,16.8
1920,4,maxtemp,22.6
1920,5,maxtemp,25.6
1920,6,maxtemp,30.6
1920,7,maxtemp,30.7
1920,8,maxtemp,29.7
1920,9,maxtemp,29.9
1920,10,maxtemp,25.9
1920,11,maxtemp,16.9
1920,12,maxtemp,11.4
1921,1,maxtemp,14.7
1921,2,maxtemp,15.9
1921,3,maxtemp,24.1
1921,4,maxtemp,23.4
1921,5,maxtemp,27
1921,6,maxtemp,33.2
1921,7,maxtemp,32.7
1921,8,maxtemp,32.2
1921,9,maxtemp,33.2
1921,10,maxtemp,23.6
1921,11,maxtemp,19.4
1921,12,maxtemp,15.6
1922,1,maxtemp,11.9
1922,2,maxtemp,17.1
1922,3,maxtemp,18.5
1922,4,maxtemp,24.1
1922,5,maxtemp,27
1922,6,maxtemp,31.5
1922,7,maxtemp,32.3
1922,8,maxtemp,32.1
1922,9,maxtemp,31.6
1922,10,maxtemp,24.2
1922,11,maxtemp,19.3
1922,12,maxtemp,16.7
1923,1,maxtemp,16.3
1923,2,maxtemp,13.7
1923,3,maxtemp,19.3
1923,4,maxtemp,23.3
1923,5,maxtemp,25.8
1923,6,maxtemp,30.6
1923,7,maxtemp,31.3
1923,8,maxtemp,30.9
1923,9,maxtemp,30.3
1923,10,maxtemp,23.8
1923,11,maxtemp,16.2
